"cohort","age","period","window_end_period","loans_at_risk","defaults_3m","rd3m","q","y_logit","mu","residual_after_mean","age_effect","residual_after_age","cohort_effect","residual_after_cohort","period_effect","residual_after_period","fitted_logit","fitted_rd3m","reconstructed_q","risk_base","risk_after_age","risk_after_cohort","risk_after_period","contribution_age","contribution_cohort","contribution_period","contribution_residual","reconstructed_rd3m"
"2018-11-01",22,"2020-09-01","2020-11-01",815,15,0.0184049079754601,0.0189950980392157,-3.94439650851157,-3.80673473380674,-0.137661774704827,0.116545108534489,-0.254206883239317,-0.383668128956006,0.129461245716689,0.143894773994937,-0.0144335282782476,-3.92996298023332,0.0192659320986005,0.0189950980392157,0.0217375941071289,0.0243590873272493,0.0167270800700145,0.0192659320986005,0.00262149322012033,-0.00763200725723473,0.00253885202858593,-0.000861024123140347,0.0184049079754601
"2018-11-01",23,"2020-10-01","2020-12-01",789,18,0.0228136882129278,0.0234177215189873,-3.73056593971894,-3.80673473380674,0.0761687940878049,0.134096448024832,-0.0579276539370268,-0.383668128956006,0.325740475018979,0.200544233240718,0.125196241778261,-3.8557621814972,0.0207191074089856,0.0234177215189873,0.0217375941071289,0.0247797081878399,0.0170182138992225,0.0207191074089856,0.00304211408071098,-0.00776149428861742,0.00370089350976314,0.00209458080394212,0.0228136882129278
"2018-11-01",24,"2020-11-01","2021-01-01",767,24,0.0312907431551499,0.0319010416666667,-3.41269564834953,-3.80673473380674,0.394039085457213,0.136933913842919,0.257105171614293,-0.383668128956006,0.640773300570299,0.302336275571726,0.338437024998573,-3.7511326733481,0.0229519557954434,0.0319010416666667,0.0217375941071289,0.024848370001482,0.0170657458216808,0.0229519557954434,0.00311077589435308,-0.00778262417980126,0.00588620997376268,0.00833878735970649,0.0312907431551499
"2018-11-01",25,"2020-12-01","2021-02-01",745,22,0.0295302013422819,0.0301608579088472,-3.47058523686116,-3.80673473380674,0.336149496945577,0.153144376103385,0.183005120842192,-0.383668128956006,0.566673249798198,0.160050155148238,0.406623094649961,-3.87720833151112,0.0202884122635776,0.0301608579088472,0.0217375941071289,0.025244204774237,0.0173398078374381,0.0202884122635776,0.00350661066710802,-0.00790439693679883,0.00294860442613945,0.00924178907870429,0.0295302013422819
"2018-11-01",26,"2021-01-01","2021-03-01",714,16,0.0224089635854342,0.0230769230769231,-3.74557479779048,-3.80673473380674,0.0611599360162596,0.150824454081345,-0.0896645180650857,-0.383668128956006,0.29400361089092,-0.0170523393881472,0.311055950279068,-4.05663074806955,0.0170127891083265,0.0230769230769231,0.0217375941071289,0.0251871814349458,0.0173003225945423,0.0170127891083265,0.00344958732781681,-0.00788685884040346,-0.000287533486215744,0.00539617447710762,0.0224089635854342
"2018-11-01",27,"2021-02-01","2021-04-01",685,7,0.0102189781021898,0.010932944606414,-4.50498145873266,-3.80673473380674,-0.698246724925918,0.182987039848669,-0.881233764774587,-0.383668128956006,-0.497565635818581,-0.271661745630415,-0.225903890188166,-4.27907756854449,0.0136660872747552,0.010932944606414,0.0217375941071289,0.0259890387722965,0.0178556935933026,0.0136660872747552,0.00425144466516755,-0.00813334517899386,-0.00418960631854742,-0.00344710917256544,0.0102189781021898
"2018-11-01",28,"2021-03-01","2021-05-01",668,3,0.00449101796407186,0.00523168908819133,-5.2477756693398,-3.80673473380674,-1.44104093553306,0.161161887237147,-1.6022028227702,-0.383668128956006,-1.2185346938142,-0.520233929176068,-0.69830076463813,-4.54947490470167,0.0104621409807708,0.00523168908819133,0.0217375941071289,0.0254422438960924,0.0174769492895322,0.0104621409807708,0.00370464978896346,-0.00796529460656023,-0.00701480830876137,-0.00597112301669894,0.00449101796407186
"2018-11-01",29,"2021-04-01","2021-06-01",648,6,0.00925925925925926,0.0100154083204931,-4.59356463986778,-3.80673473380674,-0.786829906061042,0.142171123824215,-0.929001029885258,-0.383668128956006,-0.545332900929252,-0.575798699208423,0.0304657982791717,-4.62403043814696,0.00971780249689722,0.0100154083204931,0.0217375941071289,0.024975588751243,0.0171538199910278,0.00971780249689722,0.00323799464411409,-0.00782176876021524,-0.00743601749413057,-0.000458543237637964,0.00925925925925926
"2018-11-01",30,"2021-05-01","2021-07-01",638,7,0.0109717868338558,0.0117370892018779,-4.43319492124828,-3.80673473380674,-0.62646018744154,0.125435575789942,-0.751895763231482,-0.383668128956006,-0.368227634275477,-0.604464695930074,0.236237061654597,-4.66943198290288,0.0092904723646437,0.0117370892018779,0.0217375941071289,0.0245712715617039,0.0168739341118739,0.0092904723646437,0.00283367745457492,-0.00769733744982994,-0.00758346174723023,0.0016813144692121,0.0109717868338558
"2018-11-01",31,"2021-06-01","2021-08-01",625,8,0.0128,0.0135782747603834,-4.28561290500586,-3.80673473380674,-0.478878171199121,0.116476719657313,-0.595354890856434,-0.383668128956006,-0.211686761900428,-0.615056956882158,0.40337019498173,-4.68898309998759,0.00911223642355238,0.0135782747603834,0.0217375941071289,0.0243574620690612,0.016725955295845,0.00911223642355238,0.00261986796193227,-0.00763150677321621,-0.00761371887229262,0.00368776357644762,0.0128
