"period","base","age_component","cohort_component","period_component","residual_component","fitted_rd3m","reconstructed_rd3m","loans_at_risk","defaults_3m","observed_rd3m"
"2024-12-01",0.0217375941071289,0.00324394173975642,0.0163369286596901,-0.0098000692868326,9.95725081245287e-05,0.0315183952197429,0.0316179677278674,9172,290,0.0316179677278674
"2025-01-01",0.0217375941071289,0.00326617550962181,0.0161524003726837,-0.0078582279909908,9.16433438900198e-05,0.0332979419984436,0.0333895853423337,8296,277,0.0333895853423337
"2025-02-01",0.0217375941071289,0.00324169031964003,0.0159265151754362,-0.00442475618089099,3.99899886682557e-05,0.0364810434213142,0.0365210334099824,7393,270,0.0365210334099824
"2025-03-01",0.0217375941071289,0.00322193980658412,0.0151569368603952,-0.00395516519962477,-0.000474969684672847,0.0361613055744835,0.0356863358898106,6389,228,0.0356863358898106
"2025-04-01",0.0217375941071289,0.00308681318068213,0.0150283077379364,-0.00808283432783986,-0.000502327805190907,0.0317698806979076,0.0312675528927167,5341,167,0.0312675528927167
"2025-05-01",0.0217375941071289,0.00297636472903902,0.0148730043331918,-0.00851222154829138,-0.000437210645623461,0.0310747416210684,0.0306375309754449,4439,136,0.0306375309754449
"2025-06-01",0.0217375941071289,0.00291710782036666,0.0153851021897637,-0.00775175934440652,-0.000679653164461228,0.0322880447728528,0.0316083916083916,3575,113,0.0316083916083916
"2025-07-01",0.0217375941071289,0.00293987007666449,0.0159979006155423,-0.00351412309091348,-0.000764845312025874,0.0371612417084223,0.0363963963963964,2775,101,0.0363963963963964
"2025-08-01",0.0217375941071289,0.00305013816940346,0.0149622522051048,-0.00389021029293087,-0.000722072384337901,0.0358597741887064,0.0351377018043685,2106,74,0.0351377018043685
"2025-09-01",0.0217375941071289,0.00307725886399204,0.0136271457912753,-0.009601582532965,-0.000620445172991338,0.0288404162294313,0.0282199710564399,1382,39,0.0282199710564399
"2025-10-01",0.0217375941071289,0.00297772609036222,0.0111045530341022,-0.00877308960586241,-0.000692464445643144,0.027046783625731,0.0263543191800878,683,18,0.0263543191800878
